IDZAK;MUNICIPALITY;CADASTRE;ID_STREET;REGION;mestska.cast;IFP_EST;dPSQ;Xlok
RE000465315004590;529419;806005;529419025;BA;Bratislava-LamaË;1761;1697.674419;529419025
RE000465315005262;529338;870293;529338057;BA;Bratislava-VrakuÚa;2013.5;1566.037736;529338057
RE000042515015135;529320;NA;529320188;BA;Bratislava-Ruûinov;2679.81;1874.468085;529320188
RE000147815000190;529460;NA;529460080;BA;Bratislava-Petrûalka;1456.95;1493.975904;529460080
RE000465316000051;529311;847755;529311006;BA;Bratislava-PodunajskÈ Biskupice;1559.64;1717.948718;529311006
RE000465316000138;529346;804690;NA;BA;Bratislava-NovÈ Mesto;1402.57;1630.136986;529346
RE000465315004790;529320;805556;529320152;BA;Bratislava-Ruûinov;1733.26;1815.384615;529320152
RE000441515000097;529320;805556;529320300;BA;Bratislava-Ruûinov;1275.49;1358.974359;529320300
RE000465315000218;529460;804959;529460006;BA;Bratislava-Petrûalka;1764.9;1964.285714;529460006
RE000441515000145;529397;805211;529397030;BA;Bratislava-Karlova Ves;1572.11;1735.294118;529397030
RE000188115000361;508179;846163;508179031;BA;Pezinok;1128.16;1231.884058;508179
RE000465315003731;508217;854964;508217058;BA;Senec;1263.52;1250;508217
RE000465315004177;529346;804690;529346136;BA;Bratislava-NovÈ Mesto;1803.33;2087.076923;529346136
RE000188115000299;529354;805866;529354091;BA;Bratislava-RaËa;1417;1760;529354091
RE000465315003941;529460;804959;529460014;BA;Bratislava-Petrûalka;1763.5;1842.857143;529460014
RE000099215000718;528595;NA;528595287;BA;Bratislava-StarÈ Mesto;1694.68;2111.111111;528595287
RE000309316000002;529427;871796;529427022;BA;Bratislava-Z·horsk· Bystrica;1983.85;1875;529427022
RE000465315003465;529346;804690;529346015;BA;Bratislava-NovÈ Mesto;1850.67;1966.101695;529346015
RE000165115000087;528595;804096;528595261;BA;Bratislava-StarÈ Mesto;2072.94;3227.272727;528595261
RE000465315004306;529397;805211;NA;BA;Bratislava-Karlova Ves;1628.73;1851.219512;529397
RE000097315000369;529338;870293;529338013;BA;Bratislava-VrakuÚa;1468.69;1567.567568;529338013
RE000465315003872;528595;804096;528595051;BA;Bratislava-StarÈ Mesto;1646.94;1821.428571;528595051
RE000188116000004;529320;804274;529320232;BA;Bratislava-Ruûinov;1509.12;1641.975309;529320232
RE000423415000021;504769;852716;NA;BA;RohoûnÌk;1268.02;1000;504769
RE000465315004270;529419;806005;529419025;BA;Bratislava-LamaË;1380.74;1733.2;529419025
RE000465315004325;508179;846163;508179008;BA;Pezinok;1010.79;1204.545455;508179
RE000441515000063;508209;852813;508209001;BA;Rovinka;1587.74;1590.909091;508209
RE000338016000035;508233;859338;NA;BA;Stupava;1200.24;1850;508233
RE000465315002736;529338;870293;529338058;BA;Bratislava-VrakuÚa;1201.71;1225.352113;529338058
RE000212915000037;529346;804690;529346192;BA;Bratislava-NovÈ Mesto;1923.97;2214.285714;529346192
RE000486615000011;529346;NA;529346168;BA;Bratislava-NovÈ Mesto;1781.52;1865;529346168
RE000465315004941;545333;842036;545333002;BA;Dunajsk· Luûn·;1350.46;953.271028;545333
RE000465313001591;529311;847755;529311032;BA;Bratislava-PodunajskÈ Biskupice;1278.42;1121.95122;529311032
RE000385716000005;529346;804380;529346110;BA;Bratislava-NovÈ Mesto;1948.2;2096.774194;529346110
RE000212915000029;529397;805211;529397033;BA;Bratislava-Karlova Ves;1671.07;1415.833333;529397033
RE000465315003776;529320;805556;529320282;BA;Bratislava-Ruûinov;1463.37;1590.277778;529320282
RE000229115000399;529346;NA;529346135;BA;Bratislava-NovÈ Mesto;1637.91;2212.121212;529346135
